,lr,lc,drop_rate,Test_acc_mean,Test_acc_std
42, lr=0.005,lc=0.005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6859,0.0154
71, lr=0.001,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6859,0.0175
31, lr=0.005,lc=0.0005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6859,0.0158
70, lr=0.001,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6858,0.0176
75, lr=0.0005,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6858,0.0185
69, lr=0.001,lc=0.005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6857,0.0176
55, lr=0.001,lc=0.0005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6857,0.0178
41, lr=0.005,lc=0.005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6857,0.0154
76, lr=0.0005,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6855,0.0188
32, lr=0.005,lc=0.0005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6855,0.0158
67, lr=0.001,lc=0.005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6854,0.0177
68, lr=0.001,lc=0.005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6854,0.0176
56, lr=0.001,lc=0.0005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6853,0.0182
40, lr=0.005,lc=0.005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6853,0.0154
57, lr=0.001,lc=0.0005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6852,0.0181
33, lr=0.005,lc=0.0005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6852,0.0158
66, lr=0.001,lc=0.005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6852,0.0178
65, lr=0.001,lc=0.005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6851,0.0178
77, lr=0.0005,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6851,0.0191
58, lr=0.001,lc=0.0005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.685,0.0181
78, lr=0.0005,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.685,0.0191
62, lr=0.001,lc=0.001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.685,0.0178
60, lr=0.001,lc=0.001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6849,0.018
39, lr=0.005,lc=0.001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6849,0.0154
36, lr=0.005,lc=0.001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6849,0.0154
34, lr=0.005,lc=0.0005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6849,0.0158
63, lr=0.001,lc=0.001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6849,0.0178
61, lr=0.001,lc=0.001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6849,0.0179
37, lr=0.005,lc=0.001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6848,0.0155
35, lr=0.005,lc=0.001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6848,0.0156
64, lr=0.001,lc=0.001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6848,0.0178
59, lr=0.001,lc=0.0005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6848,0.0181
79, lr=0.0005,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6847,0.0193
19, lr=0.01,lc=0.005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6847,0.0138
80, lr=0.0005,lc=0.0005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6846,0.0195
